pet_name,pet_species,pet_breed,pet_age_group,pet_color,pet_gender,pet_temperaments,adopter_living,adopter_activity,adopter_experience,adopter_has_kids,adopter_has_pets,adopter_hours_alone,adopter_pref_color,adopter_pref_age,adopter_pref_gender,adopter_desired_tags,color_matched,age_matched,gender_matched,is_dog,is_cat,pet_age_kitten_puppy,pet_age_young,pet_age_adult,pet_age_senior,pet_is_male,pet_is_female,pref_age_kitten_puppy,pref_age_young,pref_age_adult,pref_age_senior,pref_gender_male,pref_gender_female,tag_similarity,living_apartment,living_yard,living_no_yard,activity_relaxed,activity_moderate,activity_high,exp_first_time,exp_experienced,has_kids,has_other_pets,hours_0_3,hours_4_7,hours_8_plus,special_care_cap,pet_special_need,adopter_tag_friendly,adopter_tag_calm,adopter_tag_energetic,adopter_tag_shy,adopter_tag_playful,adopter_tag_independent,adopter_tag_affectionate,adopter_tag_protective,pet_tag_friendly,pet_tag_calm,pet_tag_energetic,pet_tag_shy,pet_tag_playful,pet_tag_independent,pet_tag_affectionate,pet_tag_protective,is_compatible
*Ethan,dog,Pit Bull Mix,young,White,Male,Friendly; Energetic; Playful,house_no_yard,relaxed,first_time,1,1,8_plus,Orange,adult,male,Friendly; Energetic; Affectionate,0.0,0.4,1.0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.666667,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Nala,dog,Labrador Retriever Mix,kitten_puppy,Orange,Female,Friendly; Energetic; Playful; Affectionate,apartment,relaxed,experienced,1,0,0_3,Gray,kitten_puppy,male,Friendly; Calm; Playful,0.0,1.0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0.57735,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
Max,dog,German Shepherd/Labrador Retriever,young,Black,Male,Friendly; Energetic; Playful; Affectionate; Protective,apartment,high,first_time,1,0,8_plus,any,adult,female,Friendly; Affectionate,1.0,0.4,0.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.632456,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
Zoe,dog,Belgian Malinois Mix,kitten_puppy,White,Female,Friendly; Energetic; Playful,apartment,high,first_time,1,0,4_7,Black,adult,male,Energetic; Friendly,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0.816497,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Michaelangel,cat,Domestic Shorthair Mix,kitten_puppy,Gray,Female,Energetic; Playful; Affectionate,house_no_yard,moderate,first_time,0,1,0_3,White,any,female,Calm,0.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Olympia,cat,Domestic Shorthair Mix,kitten_puppy,White,Female,Energetic; Playful; Affectionate,apartment,high,first_time,0,1,8_plus,Orange,young,male,Independent; Playful; Energetic,0.0,0.4,0.0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0.666667,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
Bella,dog,Labrador Retriever Mix,kitten_puppy,Black,Female,Friendly; Energetic; Playful; Affectionate,house_with_yard,relaxed,first_time,0,0,8_plus,Black,senior,any,Calm; Shy,1.0,0.0,1.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
Magnolia,dog,Labrador Retriever Mix,kitten_puppy,Brown,Female,Friendly; Energetic; Playful; Affectionate,house_with_yard,moderate,experienced,0,0,8_plus,Gray,senior,male,Independent; Calm; Friendly,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0.288675,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
Izabella,cat,Domestic Shorthair Mix,young,White,Female,Calm; Independent; Affectionate,house_no_yard,high,first_time,0,1,0_3,Orange,adult,male,Playful; Protective,0.0,0.4,0.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0.0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
Nala,dog,Labrador Retriever Mix,kitten_puppy,White,Female,Friendly; Energetic; Playful; Affectionate,apartment,relaxed,first_time,1,0,0_3,Orange,adult,female,Independent,0.0,0.0,1.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
